name,solution
C0001747,94
C0001748,94
C0001749,103
C0001750,103
C0001751,102
C0001752,103
C0001753,99
C0001754,94
C0001755,94
C0001756,98
C0001757,94
C0001758,98
C0001759,99
C0001760,100
C0001761,100
C0001762,111
C0001763,103
C0001764,112
C0001765,112
C0001766,119
C0001767,119
C0001768,119
C0001769,119
C0001770,119
C0001771,119
C0001772,119
C0001773,119
C0001774,120
C0001775,120
C0001776,120
C0001777,120
C0001778,120
C0001779,120
C0001780,120
C0001781,120
C0001782,120
C0001783,120
C0001784,120
C0001785,120
C0001786,120
C0001787,120
C0001788,120
C0001789,120
C0001790,120
C0001791,120
C0001792,120
C0001793,120
C0001794,120
C0001795,120
C0001796,120
C0001797,120
C0001798,120
C0001799,120
C0001800,120
C0001801,120
C0001802,120
C0001803,120
C0001804,120
C0001805,120
C0001806,121
C0001807,121
C0001808,121
C0001809,121
C0001810,121
C0001811,121
C0001812,121
C0001813,121
C0001814,121
C0001815,121
C0001816,121
C0001817,121
C0001818,121
C0001819,121
C0001820,121
C0001821,121
C0001822,121
C0001823,121
C0001824,121
C0001825,121
C0001826,121
C0001827,121
C0001828,121
C0001829,121
C0001830,121
C0001831,121
C0001832,121
C0001833,121
C0001834,121
C0001835,121
C0001836,121
C0001837,121
C0001838,122
C0001839,122
C0001840,122
C0001841,122
C0001842,122
C0001843,122
C0001844,122
C0001845,122
C0001846,122
C0001847,122
C0001848,122
C0001849,122
C0001850,122
C0001851,122
C0001852,122
C0001853,122
C0001854,122
C0001855,122
C0001856,122
C0001857,122
C0001858,122
C0001859,122
C0001860,122
C0001861,122
C0001862,122
C0001863,122
C0001864,122
C0001865,122
C0001866,122
C0001867,122
C0001868,122
C0001869,122
C0001870,122
C0001871,122
C0001872,122
C0001873,122
C0001874,122
C0001875,122
C0001876,122
C0001877,122
C0001878,122
C0001879,122
C0001880,122
C0001881,122
C0001882,122
C0001883,122
C0001884,122
C0001885,122
C0001886,122
C0001887,122
C0001888,122
C0001889,122
C0001890,122
C0001891,122
C0001892,122
C0001893,116
C0001894,121
C0001895,122
C0001896,121
C0001897,122
C0001898,121
C0001899,122
C0001900,121
C0001901,122
C0001902,121
C0001903,122
C0001904,121
C0001905,122
C0001906,121
C0001907,122
C0001908,121
C0001909,122
C0001910,121
C0001911,122
C0001912,121
C0001913,122
C0001914,121
C0001915,122
C0001916,121
C0001917,122
C0001918,121
C0001919,122
C0001920,121
C0001921,122
C0001922,121
C0001923,122
C0001924,121
C0001925,122
C0001926,122
C0001927,122
C0001928,122
C0001929,122
C0001930,122
C0001931,122
C0001932,122
C0001933,122
C0001934,122
C0001935,122
C0001936,122
C0001937,122
C0001938,122
C0001939,122
C0001940,122
C0001941,122
C0001942,122
C0001943,122
C0001944,122
C0001945,122
C0001946,122
C0001947,122
C0001948,122
C0001949,122
C0001950,122
C0001951,122
C0001952,122
C0001953,122
C0001954,122
C0001955,122
C0001956,122
C0001957,122
C0001958,122
C0001959,122
C0001960,122
C0001961,122
C0001962,122
C0001963,122
C0001964,122
C0001965,122
C0001966,122
C0001967,122
C0001968,122
C0001969,122
C0001970,117
C0001971,121
C0001972,121
C0001973,121
C0001974,121
C0001975,121
C0001976,121
C0001977,121
C0001978,121
C0001979,121
C0001980,121
C0001981,121
C0001982,121
C0001983,121
C0001984,121
C0001985,122
C0001986,121
C0001987,122
C0001988,121
C0001989,122
C0001990,121
C0001991,122
C0001992,121
C0001993,122
C0001994,121
C0001995,122
